Date,Category,Amount,Description
2025-04-11,Utilities,3734.76,Utilities expense
2025-04-02,Food,4217.71,Food expense
2025-05-29,Food,4514.41,Food expense
2025-06-15,Shopping,2398.44,Shopping expense
2025-05-29,Health,2764.43,Health expense
2025-04-17,Rent,164.26,Rent expense
2025-06-02,Health,1469.46,Health expense
2025-05-11,Entertainment,3833.43,Entertainment expense
2025-06-20,Entertainment,3127.84,Entertainment expense
2025-05-04,Entertainment,747.98,Entertainment expense
2025-06-29,Rent,3890.61,Rent expense
2025-06-08,Entertainment,1517.6,Entertainment expense
2025-06-04,Rent,990.18,Rent expense
2025-04-02,Rent,4836.17,Rent expense
2025-05-11,Utilities,205.69,Utilities expense
2025-05-07,Entertainment,4685.38,Entertainment expense
2025-05-27,Transport,1726.09,Transport expense
2025-04-13,Food,3020.3,Food expense
2025-03-31,Shopping,423.51,Shopping expense
2025-05-15,Utilities,2455.65,Utilities expense
2025-05-20,Entertainment,2457.97,Entertainment expense
2025-03-31,Entertainment,379.3,Entertainment expense
2025-06-27,Shopping,4239.92,Shopping expense
2025-06-27,Health,1894.3,Health expense
2025-04-16,Food,2318.83,Food expense
2025-03-31,Entertainment,3156.19,Entertainment expense
2025-06-04,Transport,3803.11,Transport expense
2025-05-01,Shopping,2611.23,Shopping expense
2025-04-23,Utilities,3900.45,Utilities expense
2025-06-16,Shopping,4312.5,Shopping expense
